Alegría-Dulantzi,id01001
Amurrio,id01002
Aramaio,id01003
Artziniega,id01004
Armiñón,id01006
Arratzua-Ubarrundia,id01008
Asparrena,id01009
Ayala/Aiara,id01010
Baños de Ebro/Mañueta,id01011
Barrundia,id01013
Berantevilla,id01014
Bernedo,id01016
Campezo/Kanpezu,id01017
Zigoitia,id01018
Kripan,id01019
Kuartango,id01020
Elburgo/Burgelu,id01021
Elciego,id01022
Elvillar/Bilar,id01023
Iruraiz-Gauna,id01027
Labastida/Bastida,id01028
Lagrán,id01030
Laguardia,id01031
Lanciego/Lantziego,id01032
Lapuebla de Labarca,id01033
Leza,id01034
Laudio/Llodio,id01036
Arraia-Maeztu,id01037
Moreda de Álava/Moreda Araba,id01039
Navaridas,id01041
Okondo,id01042
Oyón-Oion,id01043
Peñacerrada-Urizaharra,id01044
Erriberagoitia/Ribera Alta,id01046
Ribera Baja/Erribera Beitia,id01047
Añana,id01049
Salvatierra/Agurain,id01051
Samaniego,id01052
San Millán/Donemiliaga,id01053
Urkabustaiz,id01054
Valdegovía/Gaubea,id01055
Harana/Valle de Arana,id01056
Villabuena de Álava/Eskuernaga,id01057
Legutio,id01058
Vitoria-Gasteiz,id01059
Yécora/Iekora,id01060
Zalduondo,id01061
Zambrana,id01062
Zuia,id01063
Iruña Oka/Iruña de Oca,id01901
Lantarón,id01902
Abengibre,id02001
Alatoz,id02002
Albacete,id02003
Albatana,id02004
Alborea,id02005
Alcadozo,id02006
Alcalá del Júcar,id02007
Alcaraz,id02008
Almansa,id02009
Alpera,id02010
Ayna,id02011
Balazote,id02012
Balsa de Ves,id02013
"Ballestero, El",id02014
Barrax,id02015
Bienservida,id02016
Bogarra,id02017
Bonete,id02018
"Bonillo, El",id02019
Carcelén,id02020
Casas de Juan Núñez,id02021
Casas de Lázaro,id02022
Casas de Ves,id02023
Casas-Ibáñez,id02024
Caudete,id02025
Cenizate,id02026
Corral-Rubio,id02027
Cotillas,id02028
Chinchilla de Monte-Aragón,id02029
Elche de la Sierra,id02030
Férez,id02031
Fuensanta,id02032
Fuente-Álamo,id02033
Fuentealbilla,id02034
"Gineta, La",id02035
Golosalvo,id02036
Hellín,id02037
"Herrera, La",id02038
Higueruela,id02039
Hoya-Gonzalo,id02040
Jorquera,id02041
Letur,id02042
Lezuza,id02043
Liétor,id02044
Madrigueras,id02045
Mahora,id02046
Masegoso,id02047
Minaya,id02048
Molinicos,id02049
Montalvos,id02050
Montealegre del Castillo,id02051
Motilleja,id02052
Munera,id02053
Navas de Jorquera,id02054
Nerpio,id02055
Ontur,id02056
Ossa de Montiel,id02057
Paterna del Madera,id02058
Peñascosa,id02059
Peñas de San Pedro,id02060
Pétrola,id02061
Povedilla,id02062
Pozohondo,id02063
Pozo-Lorente,id02064
Pozuelo,id02065
"Recueja, La",id02066
Riópar,id02067
Robledo,id02068
"Roda, La",id02069
Salobre,id02070
San Pedro,id02071
Socovos,id02072
Tarazona de la Mancha,id02073
Tobarra,id02074
Valdeganga,id02075
Vianos,id02076
Villa de Ves,id02077
Villalgordo del Júcar,id02078
Villamalea,id02079
Villapalacios,id02080
Villarrobledo,id02081
Villatoya,id02082
Villavaliente,id02083
Villaverde de Guadalimar,id02084
Viveros,id02085
Yeste,id02086
Pozo Cañada,id02901
"Atzúbia, l'",id03001
Agost,id03002
Agres,id03003
Aigües,id03004
Albatera,id03005
Alcalalí,id03006
Alcocer de Planes,id03007
Alcoleja,id03008
Alcoy/Alcoi,id03009
Alfafara,id03010
"Alfàs del Pi, l'",id03011
Algorfa,id03012
Algueña,id03013
Alicante/Alacant,id03014
Almoradí,id03015
Almudaina,id03016
"Alqueria d'Asnar, l'",id03017
Altea,id03018
Aspe,id03019
Balones,id03020
Banyeres de Mariola,id03021
Benasau,id03022
Beneixama,id03023
Benejúzar,id03024
Benferri,id03025
Beniarbeig,id03026
Beniardá,id03027
Beniarrés,id03028
Benigembla,id03029
Benidoleig,id03030
Benidorm,id03031
Benifallim,id03032
Benifato,id03033
Benijófar,id03034
Benilloba,id03035
Benillup,id03036
Benimantell,id03037
Benimarfull,id03038
Benimassot,id03039
Benimeli,id03040
Benissa,id03041
"Benitachell/Poble Nou de Benitatxell, el",id03042
Biar,id03043
Bigastro,id03044
Bolulla,id03045
Busot,id03046
Calp,id03047
Callosa d'En Sarrià,id03048
Callosa de Segura,id03049
"Campello, el",id03050
"Campo de Mirra/Camp de Mirra, el",id03051
Cañada,id03052
Castalla,id03053
Castell de Castells,id03054
Catral,id03055
Cocentaina,id03056
Confrides,id03057
Cox,id03058
Crevillent,id03059
Quatretondeta,id03060
Daya Nueva,id03061
Daya Vieja,id03062
Dénia,id03063
Dolores,id03064
Elche/Elx,id03065
Elda,id03066
Facheca,id03067
Famorca,id03068
Finestrat,id03069
Formentera del Segura,id03070
Gata de Gorgos,id03071
Gaianes,id03072
Gorga,id03073
Granja de Rocamora,id03074
"Castell de Guadalest, el",id03075
Guardamar del Segura,id03076
"Fondó de les Neus, el/Hondón de las Nieves",id03077
Hondón de los Frailes,id03078
Ibi,id03079
Jacarilla,id03080
Xaló,id03081
Jávea/Xàbia,id03082
Jijona/Xixona,id03083
"Lorcha/Orxa, l'",id03084
Llíber,id03085
Millena,id03086
Monforte del Cid,id03088
Monóvar/Monòver,id03089
Mutxamel,id03090
Murla,id03091
Muro de Alcoy,id03092
Novelda,id03093
"Nucia, la",id03094
Ondara,id03095
Onil,id03096
Orba,id03097
Orxeta,id03098
Orihuela,id03099
Parcent,id03100
Pedreguer,id03101
Pego,id03102
Penàguila,id03103
Petrer,id03104
"Pinós, el/Pinoso",id03105
Planes,id03106
Polop,id03107
Rafal,id03109
"Ràfol d'Almúnia, el",id03110
Redován,id03111
Relleu,id03112
Rojales,id03113
"Romana, la",id03114
Sagra,id03115
Salinas,id03116
Sanet y Negrals,id03117
San Fulgencio,id03118
Sant Joan d'Alacant,id03119
San Miguel de Salinas,id03120
Santa Pola,id03121
San Vicente del Raspeig/Sant Vicent del Raspeig,id03122
Sax,id03123
Sella,id03124
Senija,id03125
Tàrbena,id03127
Teulada,id03128
Tibi,id03129
Tollos,id03130
Tormos,id03131
"Torremanzanas/Torre de les Maçanes, la",id03132
Torrevieja,id03133
"Vall d'Alcalà, la",id03134
"Vall d'Ebo, la",id03135
Vall de Gallinera,id03136
"Vall de Laguar, la",id03137
"Verger, el",id03138
